Duelo,Fecha 1,,,,11/08 - 17/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
1,Serkulle,2,0,Alemfer1,11/08 - 22:30,https://boardgamearena.com/tournament?id=423757,,1,1,0,,,
2,sofiasandia,1,2,PomeloRosado,11/08 - 20:00,https://boardgamearena.com/tournament?id=423619,,1,0,1,,,
3,Almirante1922,1,2,Joaquin Batet,14/08 - 17:00,https://boardgamearena.com/tournament?id=423691,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 2,,,,18/08 - 24/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,B
4,Joaquin Batet,2,0,sofiasandia,21/08 - 21:00,https://boardgamearena.com/tournament?id=425705,,1,1,0,,,
5,Alemfer1,0,2,Almirante1922,20/08 - 22:00,https://boardgamearena.com/tournament?id=426073,,1,0,1,,,
6,PomeloRosado,0,2,Serkulle,18/08 - 23:00,https://boardgamearena.com/tournament?id=425713,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 3,,,,25/08 - 31/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
7,Serkulle,0,2,Joaquin Batet,27/08 - 22:00,https://boardgamearena.com/tournament?id=427917,,1,0,1,,,
8,sofiasandia,1,2,Almirante1922,30/08 - 16:00,https://boardgamearena.com/tournament?id=428513,,1,0,1,,,
9,PomeloRosado,2,0,Alemfer1,31/08 - 14:00,https://boardgamearena.com/tournament?id=429407,,1,1,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 4,,,,01/09 - 07/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
10,Joaquin Batet,2,0,PomeloRosado,02/09 - 20:15,https://boardgamearena.com/tournament?id=430798,,1,1,0,,,
11,sofiasandia,0,0,Alemfer1,,,,0,0,0,,,
12,Almirante1922,0,0,Serkulle,07/09 - 22:00,https://boardgamearena.com/tournament?id=431384,,0,0,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 5,,,,15/09 - 21/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
13,Serkulle,0,0,sofiasandia,,,,0,0,0,,,
14,Alemfer1,0,0,Joaquin Batet,,,,0,0,0,,,
15,PomeloRosado,0,0,Almirante1922,,,,0,0,0,,,
