Duelo,Fecha 1,,,,11/08 - 17/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
1,facien,2,1,Axius9,12/08 - 19:00,https://boardgamearena.com/tournament?id=423717,,1,1,0,,,
2,Betazega,2,1,cata004,15/08 - 18:40,https://boardgamearena.com/tournament?id=424818&,,1,1,0,,,
3,Sr_Juli,2,0,El Caballero Errante,12/08 - 12:01,https://boardgamearena.com/tournament?id=423718,,1,1,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 2,,,,18/08 - 24/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,C
4,El Caballero Errante,1,2,Betazega,22/08 - 18:00,https://boardgamearena.com/tournament?id=426215,,1,0,1,,,
5,Axius9,2,1,Sr_Juli,18/08 - 19:30,https://boardgamearena.com/tournament?id=425370,,1,1,0,,,
6,cata004,0,2,facien,24/08 - 21:00,https://boardgamearena.com/tournament?id=427584,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 3,,,,25/08 - 31/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
7,facien,0,0,El Caballero Errante,02/09 - 18:00,https://boardgamearena.com/tournament?id=428283,,0,0,0,,,
8,Betazega,2,0,Sr_Juli,26/08 - 23:00,https://boardgamearena.com/tournament?id=427925,,1,1,0,,,
9,cata004,0,2,Axius9,31/08 - 10:30,https://boardgamearena.com/tournament?id=428725,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 4,,,,01/09 - 07/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
10,El Caballero Errante,0,0,cata004,,,,0,0,0,,,
11,Betazega,2,0,Axius9,02/09 - 22:00,https://boardgamearena.com/tournament?id=430232,,1,1,0,,,
12,Sr_Juli,0,2,facien,04/09 - 18:00,https://boardgamearena.com/tournament?id=430970,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 5,,,,15/09 - 21/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
13,facien,0,0,Betazega,,,,0,0,0,,,
14,Axius9,0,0,El Caballero Errante,,,,0,0,0,,,
15,cata004,0,0,Sr_Juli,,,,0,0,0,,,
