Duelo,Fecha 1,,,,11/08 - 17/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
1,Vita-,0,2,Edgar Gomez,11/08 - 16:40,https://boardgamearena.com/tournament?id=423636,,1,0,1,,,
2,Perrary,2,0,facu8714,11/08 - 20:30,https://boardgamearena.com/tournament?id=423672,,1,1,0,,,
3,AnaJaz,2,0,charly121,15/08 - 15:45,https://boardgamearena.com/tournament?id=424796,,1,1,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 2,,,,18/08 - 24/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,D
4,charly121,0,2,Perrary,22/08 - 14:30,https://boardgamearena.com/tournament?id=426362,,1,0,1,,,
5,Edgar Gomez,2,1,AnaJaz,20/08 - 18:05,https://boardgamearena.com/tournament?id=426218,,1,1,0,,,
6,facu8714,0,2,Vita-,-,,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 3,,,,25/08 - 31/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
7,Vita-,2,0,charly121,29/08 - 15:30,https://boardgamearena.com/tournament?id=428698,,1,1,0,,,
8,Perrary,0,2,AnaJaz,27/08 - 20:30,https://boardgamearena.com/tournament?id=427939,,1,0,1,,,
9,facu8714,0,2,Edgar Gomez,-,,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 4,,,,01/09 - 07/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
10,charly121,2,0,facu8714,-,,,1,1,0,,,
11,Perrary,0,2,Edgar Gomez,04/09 - 18:30,https://boardgamearena.com/tournament?id=430254,,1,0,1,,,
12,AnaJaz,0,0,Vita-,,,,0,0,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 5,,,,15/09 - 21/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
13,Vita-,0,0,Perrary,,,,0,0,0,,,
14,Edgar Gomez,0,0,charly121,,,,0,0,0,,,
15,facu8714,0,2,AnaJaz,-,,,1,0,1,,,
