Duelo,Fecha 1,,,,11/08 - 17/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
1,El_Pitufo_DV,0,2,maxi8830,11/08 - 17:30,https://boardgamearena.com/tournament?id=423302,,1,0,1,,,
2,xTyvo,0,2,Hellkkitte,13/08 - 19:30,https://boardgamearena.com/tournament?id=424168,,1,0,1,,,
3,Mezanta,1,2,Otromanuel,13/08 - 22:00,https://boardgamearena.com/tournament?id=423671,,1,0,1,,,
4,Maxcachomba,1,2,federick22,11/08 - 22:00,https://boardgamearena.com/tournament?id=423722,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 2,,,,18/08 - 24/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,A
5,maxi8830,1,2,Maxcachomba,18/08 - 19:00,https://boardgamearena.com/tournament?id=425053,,1,0,1,,,
6,federick22,2,1,Mezanta,19/08 - 20:00,https://boardgamearena.com/tournament?id=425710,,1,1,0,,,
7,Otromanuel,1,2,xTyvo,19/08 - 22:30,https://boardgamearena.com/tournament?id=425933,,1,0,1,,,
8,Hellkkitte,2,1,El_Pitufo_DV,21/08 - 09:00,https://boardgamearena.com/tournament?id=425835,,1,1,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 3,,,,25/08 - 31/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
9,xTyvo,2,1,federick22,26/08 - 22:30,https://boardgamearena.com/tournament?id=427983,,1,1,0,,,
10,Mezanta,0,2,maxi8830,25/08 - 15:00,https://boardgamearena.com/tournament?id=427744,,1,0,1,,,
11,Maxcachomba,2,0,El_Pitufo_DV,26/08 - 09:40,https://boardgamearena.com/tournament?id=427924,,1,1,0,,,
12,Otromanuel,0,2,Hellkkitte,27/08 - 09:00,https://boardgamearena.com/tournament?id=427703,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 4,,,,01/09 - 07/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
13,El_Pitufo_DV,0,0,Mezanta,05/09 - 09:00,https://boardgamearena.com/tournament?id=430962,,0,0,0,,,
14,maxi8830,1,2,xTyvo,01/09 - 22:00,https://boardgamearena.com/tournament?id=430026,,1,0,1,,,
15,federick22,1,2,Otromanuel,01/09 - 22:20,https://boardgamearena.com/tournament?id=430457,,1,0,1,,,
16,Hellkkitte,0,2,Maxcachomba,01/09 - 19:00,https://boardgamearena.com/tournament?id=429974,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 5,,,,08/09 - 14/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
17,xTyvo,0,0,El_Pitufo_DV,,,,0,0,0,,,
18,Mezanta,0,0,Maxcachomba,,,,0,0,0,,,
19,federick22,2,1,Hellkkitte,03/09 - 08:00,https://boardgamearena.com/tournament?id=430421,,1,1,0,,,
20,Otromanuel,0,0,maxi8830,,,,0,0,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 6,,,,15/09 - 21/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
21,El_Pitufo_DV,0,0,Otromanuel,,,,0,0,0,,,
22,maxi8830,0,0,federick22,,,,0,0,0,,,
23,Mezanta,0,0,Hellkkitte,,,,0,0,0,,,
24,Maxcachomba,0,0,xTyvo,,,,0,0,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 7,,,,29/09 - 05/10,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
25,xTyvo,0,0,Mezanta,,,,0,0,0,,,
26,federick22,0,0,El_Pitufo_DV,,,,0,0,0,,,
27,Otromanuel,0,0,Maxcachomba,,,,0,0,0,,,
28,Hellkkitte,0,0,maxi8830,,,,0,0,0,,,
