Duelo,Fecha 1,,,,11/08 - 17/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
1,JohnSalchiJohn,0,2,JnNzr,13/08 - 19:00,https://boardgamearena.com/tournament?id=423631,,1,0,1,,,
2,Fugaza,2,1,Marianogg8,14/08 - 20:30,https://boardgamearena.com/tournament?id=424382,,1,1,0,,,
3,SirGiuli,1,2,riky610,12/08 - 22:00,https://boardgamearena.com/tournament?id=423367,,1,0,1,,,
4,Meeplemotoquero,2,1,El Seguidor Z,11/08 - 18:20,https://boardgamearena.com/tournament?id=423731,,1,1,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 2,,,,18/08 - 24/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,B
5,JnNzr,2,0,Meeplemotoquero,18/08 - 18:00,https://boardgamearena.com/tournament?id=423819,,1,1,0,,,
6,El Seguidor Z,1,2,SirGiuli,18/08 - 13:30,https://boardgamearena.com/tournament?id=425541,,1,0,1,,,
7,riky610,1,2,Fugaza,19/08 - 20:00,https://boardgamearena.com/tournament?id=425701,,1,0,1,,,
8,Marianogg8,0,2,JohnSalchiJohn,21/08 - 19:00,https://boardgamearena.com/tournament?id=426071,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 3,,,,25/08 - 31/08,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
9,Fugaza,2,0,El Seguidor Z,27/08 - 23:10,https://boardgamearena.com/tournament?id=428370,,1,1,0,,,
10,SirGiuli,0,0,JnNzr,,,,0,0,0,,,
11,Meeplemotoquero,0,2,JohnSalchiJohn,26/08 - 19:00,https://boardgamearena.com/tournament?id=427702,,1,0,1,,,
12,riky610,1,2,Marianogg8,27/08 - 19:30,https://boardgamearena.com/tournament?id=427787,,1,0,1,,,
,,,,,,,,,,,,,
Duelo,Fecha 4,,,,01/09 - 07/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
13,JohnSalchiJohn,2,0,SirGiuli,04/09 - 09:30,https://boardgamearena.com/tournament?id=431105,,1,1,0,,,
14,JnNzr,0,0,Fugaza,07/09 - 10:00,https://boardgamearena.com/tournament?id=431358,,0,0,0,,,
15,El Seguidor Z,2,0,riky610,01/09 - 21:15,https://boardgamearena.com/tournament?id=430400,,1,1,0,,,
16,Marianogg8,0,0,Meeplemotoquero,05/09 - 22:30,https://boardgamearena.com/tournament?id=430567,,0,0,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 5,,,,08/09 - 14/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
17,Fugaza,0,0,JohnSalchiJohn,,,,0,0,0,,,
18,SirGiuli,0,0,Meeplemotoquero,,,,0,0,0,,,
19,El Seguidor Z,0,0,Marianogg8,,,,0,0,0,,,
20,riky610,0,0,JnNzr,,,,0,0,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 6,,,,15/09 - 21/09,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
21,JohnSalchiJohn,0,0,riky610,,,,0,0,0,,,
22,JnNzr,0,0,El Seguidor Z,,,,0,0,0,,,
23,SirGiuli,0,0,Marianogg8,,,,0,0,0,,,
24,Meeplemotoquero,0,0,Fugaza,,,,0,0,0,,,
,,,,,,,,,,,,,
Duelo,Fecha 7,,,,29/09 - 05/10,Detalles,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?,,,
25,Fugaza,0,0,SirGiuli,,,,0,0,0,,,
26,El Seguidor Z,0,0,JohnSalchiJohn,,,,0,0,0,,,
27,riky610,0,0,Meeplemotoquero,,,,0,0,0,,,
28,Marianogg8,0,0,JnNzr,,,,0,0,0,,,
